numerical__MSSubClass,numerical__LotFrontage,numerical__LotArea,numerical__OverallQual,numerical__OverallCond,numerical__YearBuilt,numerical__YearRemodAdd,numerical__MasVnrArea,numerical__BsmtFinSF1,numerical__BsmtFinSF2,numerical__BsmtUnfSF,numerical__TotalBsmtSF,numerical__1stFlrSF,numerical__2ndFlrSF,numerical__LowQualFinSF,numerical__GrLivArea,numerical__BsmtFullBath,numerical__BsmtHalfBath,numerical__FullBath,numerical__HalfBath,numerical__BedroomAbvGr,numerical__KitchenAbvGr,numerical__TotRmsAbvGrd,numerical__Fireplaces,numerical__GarageYrBlt,numerical__GarageCars,numerical__GarageArea,numerical__WoodDeckSF,numerical__OpenPorchSF,numerical__EnclosedPorch,numerical__3SsnPorch,numerical__ScreenPorch,numerical__MoSold,numerical__YrSold,categorical__MSZoning,categorical__Street,categorical__LotShape,categorical__LandContour,categorical__Utilities,categorical__LotConfig,categorical__LandSlope,categorical__Neighborhood,categorical__Condition1,categorical__Condition2,categorical__BldgType,categorical__HouseStyle,categorical__RoofStyle,categorical__RoofMatl,categorical__Exterior1st,categorical__Exterior2nd,categorical__MasVnrType,categorical__ExterQual,categorical__ExterCond,categorical__Foundation,categorical__BsmtQual,categorical__BsmtCond,categorical__BsmtExposure,categorical__BsmtFinType1,categorical__BsmtFinType2,categorical__Heating,categorical__HeatingQC,categorical__CentralAir,categorical__Electrical,categorical__KitchenQual,categorical__Functional,categorical__GarageType,categorical__GarageFinish,categorical__GarageQual,categorical__GarageCond,categorical__PavedDrive,categorical__SaleType,categorical__SaleCondition
20.0,75.0,10084.0,8.0,5.0,2004.0,2005.0,186.0,1369.0,0.0,317.0,1686.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2004.0,2.0,636.0,255.0,57.0,0.0,0.0,0.0,8.0,2007.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,50.0,8000.0,6.0,6.0,1948.0,2002.0,0.0,680.0,0.0,292.0,972.0,972.0,0.0,0.0,972.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,1948.0,1.0,240.0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
20.0,70.34384858044164,14175.0,5.0,6.0,1956.0,1987.0,0.0,988.0,0.0,200.0,1188.0,1437.0,0.0,0.0,1437.0,1.0,0.0,1.0,1.0,3.0,1.0,6.0,1.0,1999.0,2.0,576.0,304.0,0.0,0.0,0.0,0.0,11.0,2006.0,RL,Pave,Reg,Bnk,AllPub,Corner,Mod,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,CemntBd,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Min2,Detchd,Unf,TA,TA,Y,WD,Normal
60.0,70.34384858044164,9240.0,8.0,5.0,2001.0,2002.0,396.0,0.0,0.0,1055.0,1055.0,1055.0,1208.0,0.0,2263.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,2001.0,2.0,905.0,0.0,45.0,0.0,0.0,189.0,9.0,2008.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,BuiltIn,Fin,TA,TA,Y,WD,Normal
60.0,80.0,11584.0,7.0,6.0,1979.0,1979.0,96.0,315.0,110.0,114.0,539.0,1040.0,685.0,0.0,1725.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,1979.0,2.0,550.0,0.0,88.0,216.0,0.0,0.0,11.0,2007.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,Hip,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,GLQ,Rec,GasA,TA,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,72.0,10011.0,5.0,6.0,1957.0,1996.0,64.0,360.0,0.0,710.0,1070.0,1236.0,0.0,0.0,1236.0,0.0,1.0,1.0,0.0,2.0,1.0,6.0,1.0,1957.0,1.0,447.0,0.0,0.0,0.0,0.0,0.0,5.0,2006.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,TA,Y,SBrkr,Gd,Min1,Attchd,Unf,TA,TA,Y,WD,Normal
20.0,70.0,7560.0,5.0,5.0,1959.0,1959.0,0.0,369.0,0.0,671.0,1040.0,1040.0,0.0,0.0,1040.0,0.0,0.0,1.0,0.0,3.0,1.0,6.0,0.0,1959.0,1.0,286.0,140.0,0.0,252.0,0.0,0.0,7.0,2006.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,BrkFace,Wd Sdng,None,TA,TA,CBlock,TA,TA,No,LwQ,Unf,GasA,TA,Y,FuseA,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,98.0,11478.0,8.0,5.0,2007.0,2008.0,200.0,1218.0,0.0,486.0,1704.0,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2008.0,3.0,772.0,0.0,50.0,0.0,0.0,0.0,5.0,2010.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,104.0,11361.0,6.0,5.0,1976.0,1976.0,160.0,644.0,0.0,549.0,1193.0,1523.0,0.0,0.0,1523.0,0.0,1.0,2.0,0.0,3.0,1.0,7.0,1.0,1976.0,2.0,478.0,0.0,0.0,0.0,0.0,189.0,5.0,2008.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,COD,Abnorml
20.0,81.0,11216.0,8.0,5.0,2006.0,2006.0,0.0,0.0,0.0,1489.0,1489.0,1489.0,0.0,0.0,1489.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2006.0,2.0,776.0,0.0,140.0,0.0,0.0,0.0,6.0,2006.0,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Gd,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial
120.0,51.0,3635.0,7.0,5.0,2007.0,2007.0,130.0,988.0,0.0,398.0,1386.0,1569.0,0.0,0.0,1569.0,0.0,1.0,2.0,0.0,1.0,1.0,7.0,1.0,2007.0,3.0,660.0,143.0,20.0,0.0,0.0,0.0,5.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,70.0,9100.0,7.0,5.0,2001.0,2001.0,0.0,0.0,0.0,1212.0,1212.0,1212.0,0.0,0.0,1212.0,0.0,0.0,2.0,0.0,3.0,1.0,6.0,0.0,2001.0,2.0,573.0,356.0,0.0,0.0,0.0,0.0,6.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,67.0,9808.0,7.0,5.0,2002.0,2002.0,110.0,788.0,0.0,785.0,1573.0,1573.0,0.0,0.0,1573.0,1.0,0.0,2.0,0.0,3.0,1.0,6.0,0.0,2002.0,2.0,544.0,0.0,72.0,0.0,0.0,0.0,3.0,2009.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
60.0,80.0,10400.0,6.0,5.0,1972.0,1972.0,288.0,247.0,0.0,485.0,732.0,1012.0,778.0,0.0,1790.0,1.0,0.0,1.0,2.0,4.0,1.0,8.0,1.0,1972.0,2.0,484.0,148.0,0.0,0.0,0.0,147.0,11.0,2006.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Min2,Attchd,RFn,TA,TA,Y,WD,Normal
70.0,144.0,21384.0,5.0,6.0,1923.0,2004.0,0.0,1309.0,0.0,15.0,1324.0,1072.0,504.0,0.0,1576.0,2.0,0.0,1.0,1.0,3.0,1.0,6.0,1.0,1923.0,2.0,528.0,0.0,312.0,0.0,0.0,0.0,5.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
60.0,64.0,8791.0,6.0,5.0,2003.0,2003.0,0.0,503.0,0.0,361.0,864.0,864.0,864.0,0.0,1728.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,0.0,2003.0,2.0,673.0,216.0,56.0,0.0,0.0,0.0,5.0,2008.0,FV,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,No,Rec,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,110.0,14230.0,8.0,5.0,2007.0,2007.0,640.0,0.0,0.0,1566.0,1566.0,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,2007.0,3.0,890.0,0.0,56.0,0.0,0.0,0.0,7.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,86.0,14157.0,9.0,5.0,2005.0,2006.0,200.0,1249.0,0.0,673.0,1922.0,1922.0,0.0,0.0,1922.0,1.0,0.0,2.0,0.0,3.0,1.0,8.0,1.0,2005.0,3.0,676.0,178.0,51.0,0.0,0.0,0.0,7.0,2007.0,RL,Pave,IR1,HLS,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,Hip,CompShg,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
60.0,83.0,13159.0,7.0,5.0,2009.0,2009.0,0.0,0.0,0.0,846.0,846.0,846.0,846.0,0.0,1692.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,0.0,2009.0,2.0,650.0,208.0,114.0,0.0,0.0,0.0,7.0,2009.0,RL,Pave,IR1,HLS,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Ex,TA,Av,Unf,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,New,Partial
20.0,84.0,11096.0,8.0,5.0,2006.0,2006.0,0.0,24.0,0.0,1632.0,1656.0,1656.0,0.0,0.0,1656.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,2006.0,3.0,826.0,0.0,146.0,0.0,0.0,0.0,7.0,2007.0,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,TA,Av,GLQ,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
30.0,60.0,10800.0,4.0,7.0,1885.0,1995.0,0.0,0.0,0.0,641.0,641.0,1047.0,0.0,0.0,1047.0,0.0,0.0,1.0,0.0,2.0,1.0,6.0,0.0,1954.0,1.0,273.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,Mansard,CompShg,VinylSd,VinylSd,None,TA,TA,BrkTil,Fa,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Detchd,Unf,Fa,Fa,N,WD,Normal
60.0,56.0,20431.0,9.0,5.0,2005.0,2006.0,870.0,1410.0,0.0,438.0,1848.0,1848.0,880.0,0.0,2728.0,1.0,0.0,2.0,1.0,4.0,1.0,10.0,2.0,2006.0,3.0,706.0,0.0,0.0,0.0,0.0,0.0,4.0,2006.0,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Hip,CompShg,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,New,Partial
20.0,100.0,10175.0,6.0,5.0,1964.0,1964.0,272.0,490.0,0.0,935.0,1425.0,1425.0,0.0,0.0,1425.0,0.0,0.0,2.0,0.0,3.0,1.0,7.0,1.0,1964.0,2.0,576.0,0.0,0.0,0.0,407.0,0.0,7.0,2008.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,Plywood,BrkFace,TA,TA,CBlock,TA,TA,No,BLQ,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
30.0,70.34384858044164,8854.0,6.0,6.0,1916.0,1950.0,0.0,0.0,0.0,952.0,952.0,952.0,0.0,0.0,952.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1916.0,1.0,192.0,0.0,98.0,0.0,0.0,40.0,5.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,TA,No,Unf,Unf,Grav,Fa,N,FuseF,Fa,Typ,Detchd,Unf,Fa,Po,P,WD,Normal
20.0,43.0,13568.0,5.0,5.0,1995.0,1995.0,0.0,716.0,0.0,274.0,990.0,990.0,0.0,0.0,990.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,1996.0,2.0,576.0,224.0,0.0,0.0,0.0,0.0,7.0,2006.0,RL,Pave,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,PConc,Gd,TA,No,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
80.0,70.34384858044164,21453.0,6.0,5.0,1969.0,1969.0,0.0,938.0,0.0,0.0,938.0,988.0,0.0,0.0,988.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,1969.0,2.0,540.0,0.0,130.0,0.0,130.0,0.0,10.0,2006.0,RL,Pave,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,Flat,Metal,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,Gd,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
20.0,70.34384858044164,8900.0,4.0,4.0,1966.0,1966.0,0.0,1056.0,0.0,0.0,1056.0,1056.0,0.0,0.0,1056.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1966.0,1.0,384.0,0.0,42.0,0.0,0.0,0.0,11.0,2006.0,RH,Pave,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
20.0,42.0,14892.0,9.0,5.0,2006.0,2007.0,160.0,1320.0,0.0,426.0,1746.0,1746.0,0.0,0.0,1746.0,1.0,0.0,2.0,0.0,3.0,1.0,7.0,2.0,2006.0,3.0,758.0,201.0,39.0,0.0,0.0,0.0,10.0,2009.0,RL,Pave,IR1,HLS,AllPub,CulDSac,Gtl,Gilbert,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
60.0,74.0,10141.0,7.0,5.0,1998.0,1998.0,40.0,0.0,0.0,832.0,832.0,885.0,833.0,0.0,1718.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,1.0,1998.0,2.0,427.0,0.0,94.0,0.0,0.0,291.0,12.0,2009.0,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
80.0,70.0,12886.0,5.0,6.0,1963.0,1999.0,0.0,444.0,0.0,76.0,520.0,1464.0,0.0,0.0,1464.0,0.0,1.0,2.0,0.0,3.0,1.0,6.0,1.0,1997.0,2.0,480.0,302.0,0.0,0.0,0.0,100.0,10.0,2009.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,SLvl,Gable,CompShg,HdBoard,HdBoard,None,TA,TA,CBlock,Gd,TA,Av,ALQ,Unf,GasA,Ex,Y,SBrkr,TA,Min2,Attchd,RFn,TA,TA,Y,WD,Normal
60.0,68.0,8935.0,7.0,5.0,2002.0,2002.0,95.0,0.0,0.0,831.0,831.0,831.0,829.0,0.0,1660.0,0.0,0.0,2.0,1.0,3.0,1.0,7.0,0.0,2002.0,2.0,493.0,144.0,68.0,0.0,0.0,0.0,7.0,2009.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Gable,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
120.0,61.0,7658.0,9.0,5.0,2005.0,2005.0,412.0,456.0,0.0,1296.0,1752.0,1752.0,0.0,0.0,1752.0,1.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,2005.0,2.0,576.0,196.0,82.0,0.0,0.0,0.0,2.0,2010.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Hip,CompShg,MetalSd,MetalSd,BrkFace,Ex,TA,PConc,Ex,TA,No,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
90.0,70.34384858044164,18890.0,5.0,5.0,1977.0,1977.0,1.0,498.0,211.0,652.0,1361.0,1361.0,1259.0,0.0,2620.0,0.0,0.0,2.0,2.0,4.0,2.0,12.0,1.0,1977.0,2.0,600.0,155.0,24.0,145.0,0.0,0.0,8.0,2007.0,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Feedr,RRAe,Duplex,1.5Fin,Shed,CompShg,Plywood,Plywood,None,TA,TA,CBlock,Gd,TA,No,GLQ,Rec,GasA,Ex,Y,SBrkr,TA,Typ,BuiltIn,RFn,TA,TA,N,WD,Normal
60.0,130.0,40094.0,10.0,5.0,2007.0,2008.0,762.0,2260.0,0.0,878.0,3138.0,3138.0,1538.0,0.0,4676.0,1.0,0.0,3.0,1.0,3.0,1.0,11.0,1.0,2007.0,3.0,884.0,208.0,406.0,0.0,0.0,0.0,10.0,2007.0,RL,Pave,IR1,Bnk,AllPub,Inside,Gtl,Edwards,PosN,PosN,1Fam,2Story,Hip,CompShg,CemntBd,CmentBd,Stone,Ex,TA,PConc,Ex,TA,Gd,GLQ,Unf,GasA,Ex,Y,SBrkr,Ex,Typ,BuiltIn,Fin,TA,TA,Y,New,Partial
45.0,50.0,6130.0,5.0,6.0,1924.0,1950.0,0.0,784.0,0.0,0.0,784.0,784.0,0.0,0.0,784.0,1.0,0.0,1.0,0.0,2.0,1.0,5.0,0.0,1978.6621376811595,0.0,0.0,0.0,0.0,116.0,0.0,0.0,5.0,2008.0,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gable,CompShg,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,TA,No,ALQ,Unf,GasA,Gd,Y,SBrkr,Gd,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
20.0,85.0,6970.0,4.0,5.0,1961.0,1961.0,0.0,932.0,0.0,108.0,1040.0,1120.0,0.0,0.0,1120.0,1.0,0.0,1.0,1.0,3.0,1.0,5.0,0.0,1961.0,2.0,544.0,168.0,0.0,0.0,0.0,0.0,5.0,2007.0,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,TA,TA,CBlock,TA,TA,No,ALQ,Unf,GasA,TA,Y,SBrkr,Fa,Typ,Attchd,RFn,TA,TA,Y,WD,Normal
20.0,75.0,11235.0,4.0,5.0,1963.0,1979.0,51.0,547.0,0.0,504.0,1051.0,1382.0,0.0,0.0,1382.0,0.0,0.0,1.0,1.0,3.0,1.0,6.0,1.0,1974.0,2.0,459.0,0.0,82.0,0.0,0.0,0.0,10.0,2006.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,Gable,CompShg,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,TA,TA,No,Rec,Unf,GasA,Gd,Y,SBrkr,TA,Typ,Attchd,Unf,TA,TA,Y,WD,Normal
60.0,70.34384858044164,11616.0,6.0,5.0,1978.0,1978.0,328.0,438.0,0.0,234.0,672.0,672.0,714.0,0.0,1386.0,0.0,0.0,2.0,1.0,3.0,1.0,6.0,1.0,1978.0,2.0,440.0,335.0,0.0,0.0,0.0,0.0,4.0,2010.0,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,Hip,CompShg,HdBoard,HdBoard,BrkCmn,TA,TA,CBlock,TA,TA,Mn,Rec,Unf,GasA,TA,Y,SBrkr,TA,Typ,Attchd,Fin,TA,TA,Y,WD,Abnorml
20.0,50.0,5000.0,1.0,3.0,1946.0,1950.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,0.0,334.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,1978.6621376811595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2007.0,RL,Pave,Reg,Low,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1Story,Gable,CompShg,VinylSd,VinylSd,None,Fa,Fa,Slab,TA,TA,No,Unf,Unf,GasA,Fa,N,FuseF,Fa,Typ,Attchd,Unf,TA,TA,N,WD,Normal
160.0,30.0,3182.0,7.0,5.0,2004.0,2005.0,0.0,0.0,0.0,600.0,600.0,600.0,600.0,0.0,1200.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,0.0,2004.0,2.0,480.0,0.0,172.0,0.0,0.0,0.0,6.0,2010.0,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,Gable,CompShg,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Detchd,RFn,TA,TA,Y,WD,Normal
120.0,70.34384858044164,3072.0,7.0,5.0,2004.0,2004.0,18.0,0.0,0.0,1375.0,1375.0,1414.0,0.0,0.0,1414.0,0.0,0.0,2.0,0.0,2.0,1.0,6.0,1.0,2004.0,2.0,398.0,144.0,20.0,0.0,0.0,0.0,5.0,2006.0,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,Hip,CompShg,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Ex,Y,SBrkr,Gd,Typ,Attchd,Fin,TA,TA,Y,WD,Normal
90.0,65.0,8944.0,5.0,5.0,1967.0,1967.0,0.0,0.0,0.0,1584.0,1584.0,1584.0,0.0,0.0,1584.0,0.0,0.0,2.0,0.0,4.0,2.0,8.0,0.0,1967.0,3.0,792.0,0.0,152.0,0.0,0.0,0.0,4.0,2009.0,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,Gable,CompShg,Plywood,Plywood,None,TA,TA,CBlock,TA,TA,No,Unf,Unf,GasA,TA,Y,SBrkr,TA,Mod,Detchd,Unf,TA,TA,Y,WD,Normal
70.0,70.34384858044164,11435.0,8.0,7.0,1929.0,1950.0,0.0,0.0,0.0,792.0,792.0,792.0,725.0,0.0,1517.0,0.0,0.0,1.0,0.0,3.0,1.0,7.0,2.0,1931.0,2.0,400.0,0.0,0.0,0.0,0.0,0.0,6.0,2006.0,RL,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,Gable,CompShg,BrkFace,Stucco,None,TA,TA,PConc,Gd,TA,No,Unf,Unf,GasA,Fa,Y,SBrkr,Gd,Typ,Detchd,Unf,TA,TA,Y,WD,Normal
